LAT;;;;;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258;-33.9258
LON;;;;;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232;18.4232
ASL;;;;;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000;25.0000
CITY;;;;;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town;Cape Town
DOMAIN;;;;;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01;NEMSAF01
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation (high resolution);Total Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction
UNIT;;;;;°C;%;hPa;mm;%;min;W/m2;km/h;°
AGGREGATION;;;;;;;;;;;;;
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Cloud Cover  [sfc];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;05;02;14;00;16.46;90.00;1014.00;0.20;100.00;58.72;167.32;37.94;316.15
2019;05;02;15;00;16.26;91.00;1013.70;0.70;100.00;0.00;78.32;36.71;318.18
2019;05;02;16;00;15.99;93.00;1013.90;1.00;100.00;0.00;47.17;36.10;321.07
2019;05;02;17;00;15.93;94.00;1014.20;1.00;100.00;0.00;30.26;34.99;323.37
2019;05;02;18;00;15.91;95.00;1014.20;0.40;100.00;0.00;9.79;33.27;324.25
2019;05;02;19;00;15.89;96.00;1014.70;1.40;100.00;0.00;0.00;30.10;323.27
2019;05;02;20;00;16.05;96.00;1015.60;0.80;100.00;0.00;0.00;27.30;318.74
2019;05;02;21;00;16.38;96.00;1016.00;0.10;100.00;0.00;0.00;24.22;311.99
2019;05;02;22;00;16.72;96.00;1016.50;0.00;100.00;0.00;0.00;21.39;306.10
2019;05;02;23;00;16.99;92.00;1017.10;0.00;17.00;0.00;0.00;18.16;309.37
2019;05;03;00;00;16.68;92.00;1017.40;0.00;26.00;0.00;0.00;15.79;316.85
2019;05;03;01;00;16.51;93.00;1017.50;0.00;35.00;0.00;0.00;15.55;317.82
2019;05;03;02;00;16.47;89.00;1017.70;0.00;15.00;0.00;0.00;15.07;310.16
2019;05;03;03;00;16.36;81.00;1018.00;0.00;10.00;0.00;0.00;13.04;297.98
2019;05;03;04;00;16.76;76.00;1018.10;0.00;10.00;0.00;0.00;12.76;286.39
2019;05;03;05;00;16.84;76.00;1018.30;0.00;21.00;0.00;0.00;12.62;273.27
2019;05;03;06;00;16.61;76.00;1018.60;0.00;10.00;0.00;0.00;12.98;266.82
2019;05;03;07;00;16.35;74.00;1019.10;0.00;10.00;0.00;0.00;12.25;268.32
2019;05;03;08;00;16.15;72.00;1019.50;0.00;10.00;34.86;24.03;11.18;273.69
2019;05;03;09;00;17.04;65.00;1019.80;0.00;10.00;53.62;182.45;13.36;274.64
